Sample;Dataset;Known IDH status;Predicted IDH status
aml_ohsu_2022_2414_BA2098;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2415_BA2872;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2417_BA2134;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2418_BA2409;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2419_BA2701;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2420_BA3004;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2422_BA2584;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2424_BA2035;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2426_BA2400;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2429_BA2025;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2429_BA2446;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2431_BA2776;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2432_BA2033;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2433_BA2521;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2436_BA2852;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2437_BA2851;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2440_BA2379;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2441_BA2588;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2442_BA2868;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2444_BA2361;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2445_BA2036;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2446_BA2236;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2447_BA2260;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2447_BA2787;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2448_BA2811;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2450_BA2904;AML-OHSU-2022;IDH-WT;
